CMDLINE /ws2/yfulwani/anaconda3/envs/doc_class_intel/bin/python3.7 example1.py
MEM 0.582031 1682317981.1484
MEM 17.746094 1682317981.2490
MEM 27.453125 1682317981.3495
MEM 35.441406 1682317981.4501
MEM 40.687500 1682317981.5506
MEM 40.894531 1682317981.6511
MEM 40.894531 1682317981.7516
MEM 40.894531 1682317981.8521
MEM 40.894531 1682317981.9526
MEM 40.894531 1682317982.0531
MEM 40.894531 1682317982.1536
MEM 40.894531 1682317982.2541
MEM 40.894531 1682317982.3546
MEM 40.894531 1682317982.4551
MEM 40.894531 1682317982.5556
MEM 40.894531 1682317982.6561
MEM 40.894531 1682317982.7566
MEM 40.894531 1682317982.8571
MEM 40.894531 1682317982.9575
MEM 40.894531 1682317983.0580
MEM 41.113281 1682317983.1584
MEM 41.113281 1682317983.2589
MEM 41.113281 1682317983.3594
MEM 41.113281 1682317983.4598
MEM 41.113281 1682317983.5603
MEM 41.113281 1682317983.6609
MEM 41.113281 1682317983.7615
MEM 41.113281 1682317983.8619
MEM 41.218750 1682317983.9624
MEM 41.218750 1682317984.0629
MEM 41.218750 1682317984.1633
MEM 41.218750 1682317984.2638
MEM 41.218750 1682317984.3642
MEM 41.218750 1682317984.4647
MEM 41.218750 1682317984.5652
MEM 41.218750 1682317984.6656
MEM 41.218750 1682317984.7661
MEM 41.218750 1682317984.8665
MEM 41.218750 1682317984.9670
MEM 41.218750 1682317985.0674
MEM 41.218750 1682317985.1679
MEM 41.402344 1682317985.2683
MEM 41.402344 1682317985.3688
MEM 41.402344 1682317985.4693
MEM 41.402344 1682317985.5698
MEM 41.402344 1682317985.6702
MEM 41.402344 1682317985.7707
MEM 41.402344 1682317985.8711
MEM 41.402344 1682317985.9716
MEM 41.402344 1682317986.0720
MEM 41.402344 1682317986.1725
MEM 41.402344 1682317986.2730
MEM 41.402344 1682317986.3735
MEM 41.402344 1682317986.4740
MEM 41.589844 1682317986.5744
MEM 41.589844 1682317986.6749
MEM 41.589844 1682317986.7753
MEM 41.589844 1682317986.8758
MEM 42.183594 1682317986.9762
MEM 42.183594 1682317987.0767
MEM 42.183594 1682317987.1771
MEM 42.183594 1682317987.2776
MEM 42.410156 1682317987.3781
MEM 42.410156 1682317987.4785
MEM 42.410156 1682317987.5790
MEM 42.410156 1682317987.6794
MEM 42.410156 1682317987.7799
MEM 42.410156 1682317987.8803
MEM 42.410156 1682317987.9808
MEM 42.410156 1682317988.0812
MEM 42.410156 1682317988.1818
MEM 42.410156 1682317988.2822
MEM 42.410156 1682317988.3826
MEM 42.410156 1682317988.4831
MEM 42.410156 1682317988.5836
MEM 42.410156 1682317988.6840
MEM 42.410156 1682317988.7845
MEM 42.410156 1682317988.8850
MEM 42.410156 1682317988.9854
MEM 42.410156 1682317989.0859
MEM 42.410156 1682317989.1864
MEM 42.410156 1682317989.2869
MEM 42.410156 1682317989.3874
MEM 42.410156 1682317989.4878
MEM 42.410156 1682317989.5883
MEM 42.410156 1682317989.6888
MEM 42.410156 1682317989.7894
MEM 42.410156 1682317989.8898
MEM 42.410156 1682317989.9903
MEM 42.410156 1682317990.0908
MEM 42.410156 1682317990.1912
MEM 42.410156 1682317990.2917
MEM 42.410156 1682317990.3921
MEM 42.410156 1682317990.4926
MEM 42.410156 1682317990.5930
MEM 42.410156 1682317990.6935
MEM 42.410156 1682317990.7940
MEM 42.410156 1682317990.8944
MEM 42.410156 1682317990.9949
MEM 42.410156 1682317991.0953
MEM 42.410156 1682317991.1958
MEM 42.410156 1682317991.2962
MEM 42.410156 1682317991.3968
MEM 42.410156 1682317991.4972
MEM 42.410156 1682317991.5977
MEM 42.410156 1682317991.6981
MEM 42.410156 1682317991.7986
MEM 42.410156 1682317991.8991
MEM 42.410156 1682317991.9995
MEM 42.410156 1682317992.1000
MEM 42.410156 1682317992.2004
MEM 42.410156 1682317992.3009
MEM 42.410156 1682317992.4014
MEM 42.410156 1682317992.5018
MEM 42.410156 1682317992.6023
MEM 42.410156 1682317992.7028
MEM 42.410156 1682317992.8032
MEM 42.410156 1682317992.9037
MEM 42.410156 1682317993.0042
MEM 42.410156 1682317993.1047
MEM 42.410156 1682317993.2052
MEM 42.410156 1682317993.3057
MEM 42.410156 1682317993.4061
MEM 42.410156 1682317993.5066
MEM 42.410156 1682317993.6070
MEM 42.410156 1682317993.7075
MEM 42.867188 1682317993.8079
MEM 43.125000 1682317993.9084
MEM 43.125000 1682317994.0088
MEM 43.125000 1682317994.1093
MEM 43.125000 1682317994.2098
MEM 43.125000 1682317994.3102
MEM 43.125000 1682317994.4107
MEM 43.125000 1682317994.5111
MEM 43.125000 1682317994.6116
MEM 43.125000 1682317994.7121
MEM 43.125000 1682317994.8125
MEM 43.175781 1682317994.9130
MEM 43.175781 1682317995.0134
MEM 43.175781 1682317995.1139
MEM 43.175781 1682317995.2143
MEM 43.175781 1682317995.3148
MEM 43.175781 1682317995.4152
MEM 43.175781 1682317995.5157
MEM 43.175781 1682317995.6161
MEM 43.175781 1682317995.7166
MEM 43.175781 1682317995.8170
MEM 43.175781 1682317995.9175
MEM 43.175781 1682317996.0180
MEM 43.175781 1682317996.1184
MEM 43.175781 1682317996.2189
MEM 43.175781 1682317996.3193
MEM 43.175781 1682317996.4198
MEM 43.175781 1682317996.5203
MEM 43.175781 1682317996.6207
MEM 43.175781 1682317996.7212
MEM 43.175781 1682317996.8217
MEM 43.175781 1682317996.9221
MEM 43.175781 1682317997.0226
MEM 43.175781 1682317997.1230
MEM 43.175781 1682317997.2235
MEM 43.175781 1682317997.3239
MEM 43.175781 1682317997.4244
MEM 43.769531 1682317997.5249
MEM 43.769531 1682317997.6254
MEM 43.769531 1682317997.7258
MEM 43.910156 1682317997.8263
MEM 43.910156 1682317997.9267
MEM 41.648438 1682317998.0273
